country,variety,points
Austria,St. Laurent,93
Austria,Blauburgunder,93
Austria,Blaufränkisch,93
Austria,Pinot Noir,93
Austria,Blaufränkisch,93
Austria,Pinot Noir,93
Austria,Grüner Veltliner,93
Austria,Pinot Noir,93
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Blaufränkisch,92
Austria,Red Blend,92
Austria,Zweigelt,92
Austria,Grüner Veltliner,92
Austria,Blaufränkisch,92
Austria,Riesling,92
Austria,Pinot Noir,92
Austria,St. Laurent,92
Austria,Blaufränkisch,92
Austria,St. Laurent,92
Austria,Riesling,92
Austria,Red Blend,92
Austria,Weissburgunder,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Blaufränkisch,92
Austria,Grüner Veltliner,92
Austria,Gelber Muskateller,91
Austria,Grüner Veltliner,91
Austria,Blaufränkisch,91
Austria,Grüner Veltliner,91
Austria,Gelber Muskateller,91
Austria,Roter Veltliner,91
Austria,Blaufränkisch,91
Austria,Pinot Noir,91
Austria,Austrian Red Blend,91
Austria,Grüner Veltliner,91
Austria,Grüner Veltliner,91
Austria,St. Laurent,91
Austria,Grüner Veltliner,91
Austria,White Blend,91
Austria,White Blend,91
Austria,Grüner Veltliner,91
Austria,Zweigelt,91
Austria,Zweigelt,91
Austria,Gelber Muskateller,91
Austria,Grüner Veltliner,91
Austria,Zweigelt,91
Austria,Zweigelt,91
Austria,Gelber Muskateller,91
Austria,Zweigelt,91
Austria,Grüner Veltliner,91
Austria,Riesling,91
Austria,St. Laurent,91
Austria,Grüner Veltliner,91
Austria,Blaufränkisch,91
Austria,Grüner Veltliner,91
Austria,Grüner Veltliner,91
Austria,Blaufränkisch,91
Austria,Zweigelt,91
Austria,Grüner Veltliner,91
Austria,Grüner Veltliner,91
Austria,Red Blend,91
Austria,Red Blend,91
Austria,Zweigelt,90
Austria,Riesling,90
Austria,Grüner Veltliner,90
Austria,Chardonnay,90
Austria,Rosé,90
Austria,Zweigelt,90
Austria,Riesling,90
Austria,Grüner Veltliner,90
Austria,Chardonnay,90
Austria,Rosé,90
Austria,Chardonnay,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Riesling,90
Austria,Zweigelt,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Orangetraube,90
Austria,Grüner Veltliner,90
Austria,Grüner Veltliner,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Grüner Veltliner,90
Austria,Grüner Veltliner,90
Austria,Austrian Red Blend,90
Austria,Grüner Veltliner,90
Austria,Grüner Veltliner,90
Austria,Grüner Veltliner,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Riesling,90
Austria,Grüner Veltliner,90
Austria,Red Blend,90
Austria,Furmint,90
Austria,Grüner Veltliner,90
Austria,St. Laurent,90
Austria,Riesling,90
Austria,Grüner Veltliner,90
Austria,Riesling,90
Austria,Pinot Noir,90
Austria,Roter Veltliner,90
Austria,St. Laurent,90
Austria,Zweigelt,90
Austria,Grüner Veltliner,90
Austria,Blaufränkisch,90
Austria,Chardonnay,90
Austria,Grüner Veltliner,90
Austria,Zweigelt,90
Austria,White Blend,90
Austria,Zweigelt,90
Austria,White Blend,89
Austria,Zweigelt,89
Austria,Grüner Veltliner,89
Austria,Grüner Veltliner,89
Austria,White Blend,89
Austria,Grüner Veltliner,89
Austria,White Blend,89
Austria,Grüner Veltliner,89
Austria,Rosé,89
Austria,Grüner Veltliner,89
Austria,White Blend,89
Austria,Grüner Veltliner,89
Austria,Rosé,89
Austria,Grüner Veltliner,89
Austria,Zweigelt,89
Austria,Pinot Blanc,89
Austria,Zweigelt,89
Austria,Zweigelt,89
Austria,Grüner Veltliner,89
Austria,Zweigelt,89
Austria,Grüner Veltliner,89
Austria,Grüner Veltliner,89
Austria,Zweigelt,89
Austria,Grüner Veltliner,89
Austria,Neuburger,89
Austria,Grüner Veltliner,89
Austria,Riesling,89
Austria,Zweigelt,89
Austria,Grüner Veltliner,89
Austria,Rosé,89
Austria,Rosé,89
Austria,Sauvignon Blanc,88
Austria,Rosé,88
Austria,Zweigelt,86
Austria,Riesling,88
Austria,Blaufränkisch,84
Austria,Grüner Veltliner,88
Austria,Grüner Veltliner,88
Austria,Pinot Noir,86
Austria,Zweigelt,83
Austria,Zweigelt,83
Austria,Zweigelt,83
Austria,Blaufränkisch,83
Austria,Zweigelt,83
Austria,Zweigelt,82
Austria,Grüner Veltliner,88
Austria,Sauvignon Blanc,88
Austria,Rosé,88
Austria,Rosé,88
Austria,Grüner Veltliner,96
Austria,Grüner Veltliner,96
Austria,Riesling,96
Austria,Riesling,95
Austria,Grüner Veltliner,88
Austria,Rosé,88
Austria,Chardonnay,86
Austria,Grüner Veltliner,86
Austria,Blaufränkisch,82
Austria,Austrian Red Blend,82
Austria,Riesling,95
Austria,Riesling,95
Austria,Riesling,95
Austria,Riesling,95
Austria,Grüner Veltliner,94
Austria,St. Laurent,94
Austria,Zweigelt,86
Austria,Riesling,87
Austria,Chardonnay,97
Austria,Scheurebe,97
Austria,Welschriesling,96
Austria,Riesling,96
Austria,Riesling,96
Austria,Traminer,96
Austria,Riesling,95
Austria,Grüner Veltliner,95
Austria,Grüner Veltliner,94
Austria,Grüner Veltliner,94
Austria,Riesling,94
Austria,Grüner Veltliner,93
Austria,White Blend,88
Austria,White Blend,88
Austria,Zweigelt,85
Austria,Riesling,95
Austria,White Blend,95
Austria,Welschriesling,94
Austria,Grüner Veltliner,94
Austria,Riesling,94
Austria,Riesling,94
Austria,Grüner Veltliner,87
Austria,Grüner Veltliner,88
Austria,Riesling,93
Austria,Grüner Veltliner,85
Austria,Grüner Veltliner,94
Austria,Grüner Veltliner,94
Austria,Riesling,94
Austria,Riesling,94
Austria,Riesling,94
Austria,Grüner Veltliner,94
Austria,Grüner Veltliner,94
Austria,White Blend,94
Austria,Riesling,94
Austria,Grüner Veltliner,94
Austria,Zweigelt,87
Austria,Zweigelt,88
Austria,Gelber Muskateller,88
Austria,Gelber Muskateller,88
Austria,Riesling,93
Austria,Riesling,93
Austria,Riesling,93
Austria,Grüner Veltliner,85
Austria,Grüner Veltliner,93
Austria,Riesling,93
Austria,White Blend,93
Austria,Riesling,93
Austria,Chardonnay,93
Austria,White Blend,93
Austria,Riesling,93
Austria,Riesling,93
Austria,Grüner Veltliner,93
Austria,Grüner Veltliner,88
Austria,Blaufränkisch,93
Austria,Zweigelt,92
Austria,Traminer,92
Austria,Muskat Ottonel,85
Austria,Grüner Veltliner,93
Austria,Austrian white blend,93
Austria,Grüner Veltliner,93
Austria,Grüner Veltliner,93
Austria,Grüner Veltliner,93
Austria,Riesling,93
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,88
Austria,Grüner Veltliner,88
Austria,Welschriesling,88
Austria,Welschriesling,88
Austria,White Blend,88
Austria,Riesling,92
Austria,Riesling,92
Austria,Blaufränkisch,92
Austria,Grüner Veltliner,92
Austria,Riesling,92
Austria,Grüner Veltliner,92
Austria,Scheurebe,92
Austria,Riesling,92
Austria,Grüner Veltliner,92
Austria,Grüner Veltliner,92
Austria,Zweigelt,88
Austria,Grüner Veltliner,92
