country,variety,points
France,Provence red blend,95
France,Tannat,95
France,Malbec,95
France,Sparkling Blend,90
France,Rhône-style White Blend,90
France,Syrah,90
France,Chardonnay,90
France,Sauvignon Blanc,90
France,Pinot Noir,90
France,Sauvignon Blanc,90
France,Chardonnay,91
France,Chardonnay,91
France,Chardonnay,91
France,Chardonnay,91
France,Malbec-Merlot,86
France,Merlot-Malbec,86
France,Ugni Blanc-Colombard,86
France,Rosé,86
France,Gamay,86
France,Rosé,90
France,Rosé,90
France,Bordeaux-style Red Blend,89
France,Rhône-style Red Blend,89
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Bordeaux-style Red Blend,87
France,Riesling,93
France,Riesling,93
France,Riesling,93
France,Riesling,93
France,Riesling,93
France,Bordeaux-style White Blend,93
France,Riesling,92
France,Riesling,92
France,Riesling,92
France,Bordeaux-style Red Blend,88
France,Bordeaux-style White Blend,88
France,Bordeaux-style White Blend,88
France,Bordeaux-style Red Blend,88
France,Bordeaux-style White Blend,88
France,Chenin Blanc-Chardonnay,88
France,Sauvignon Blanc,88
France,Pinot Noir,92
France,Chardonnay,92
France,Malbec,92
France,Bordeaux-style Red Blend,92
France,Chardonnay,91
France,Bordeaux-style Red Blend,91
France,Chardonnay,91
France,Pinot Noir,91
France,Gros and Petit Manseng,91
France,Tannat-Cabernet,94
France,Provence red blend,94
France,Rosé,94
France,Provence red blend,94
France,Rosé,94
France,Malbec,94
France,Chardonnay,91
France,Pinot Noir,90
France,Pinot Noir,90
France,Sylvaner,90
France,Chasselas,90
France,Alsace white blend,90
France,Pinot Noir,90
France,Pinot Noir,90
France,Rhône-style Red Blend,90
France,Rhône-style Red Blend,90
France,Bordeaux-style Red Blend,87
France,Bordeaux-style White Blend,87
France,White Blend,86
France,Semillon-Sauvignon Blanc,86
France,Grenache-Syrah,89
France,Red Blend,89
France,White Blend,89
France,Negrette,89
France,Grenache-Syrah,89
France,Riesling,92
France,Riesling,92
France,Riesling,92
France,Bordeaux-style Red Blend,92
France,Riesling,92
France,Pinot Noir,90
France,Pinot Noir,90
France,Chardonnay,90
France,Sylvaner,90
France,Pinot Noir,90
