,country,variety,points
0,US,Cabernet Sauvignon,96
1,Spain,Tinta de Toro,96
2,US,Sauvignon Blanc,96
3,US,Pinot Noir,96
4,France,Provence red blend,95
5,Spain,Tinta de Toro,95
6,Spain,Tinta de Toro,95
7,Spain,Tinta de Toro,95
8,US,Pinot Noir,95
9,US,Pinot Noir,95
10,Italy,Friulano,95
11,US,Pinot Noir,95
12,US,Pinot Noir,95
13,France,Tannat,95
14,US,Pinot Noir,95
15,US,Chardonnay,95
16,US,Cabernet Sauvignon,95
17,Spain,Tempranillo,95
18,France,Malbec,95
19,US,Pinot Noir,95
20,US,Rosé,95
21,Spain,Tempranillo Blend,95
22,Spain,Tinta de Toro,95
23,US,Chardonnay,95
24,US,Pinot Noir,95
25,New Zealand,Chardonnay,94
26,US,Pinot Noir,94
27,US,Pinot Noir,94
28,US,Pinot Noir,94
29,US,Syrah,94
30,Bulgaria,Mavrud,90
31,US,Chardonnay,90
32,Italy,Sangiovese,90
33,France,Sparkling Blend,90
34,US,Chardonnay,90
35,Italy,Sangiovese,90
36,France,Rhône-style White Blend,90
37,Italy,Sangiovese,90
38,Italy,Sangiovese,90
39,Italy,Red Blend,90
40,Spain,Mencía,90
41,Spain,Palomino,90
42,US,Petite Sirah,90
43,Italy,Red Blend,90
44,France,Syrah,90
45,Italy,Red Blend,90
46,Italy,Sangiovese,90
47,US,Cabernet Sauvignon,90
48,Italy,Sangiovese,90
49,US,Cabernet Sauvignon,90
50,Italy,Sangiovese,90
51,France,Chardonnay,90
52,France,Sauvignon Blanc,90
53,France,Pinot Noir,90
54,US,Chardonnay,90
55,US,Cabernet Sauvignon,90
56,France,Sauvignon Blanc,90
57,US,Riesling,90
58,US,Cabernet Sauvignon-Syrah,90
59,Italy,Red Blend,90
60,Argentina,Malbec,91
61,Australia,Pinot Noir,91
62,Argentina,Malbec,91
63,France,Chardonnay,91
64,Portugal,Portuguese Red,91
65,US,Syrah,91
66,France,Chardonnay,91
67,US,Cabernet Sauvignon,91
68,US,Pinot Noir,91
69,US,Cabernet Sauvignon,91
70,US,Cabernet Sauvignon,91
71,US,Pinot Noir,91
72,Italy,Nebbiolo,91
73,US,Pinot Gris,91
74,Portugal,Portuguese Red,91
75,US,Pinot Noir,91
76,France,Chardonnay,91
77,US,Sauvignon Blanc,91
78,US,Cabernet Sauvignon,91
79,Italy,Nebbiolo,91
80,US,Pinot Noir,91
81,Israel,Cabernet Sauvignon,91
82,Italy,Nebbiolo,91
83,Italy,Nebbiolo,91
84,Italy,Nebbiolo,91
85,Italy,Nebbiolo,91
86,France,Chardonnay,91
87,US,Cabernet Sauvignon,91
88,US,Pinot Noir,91
89,US,Meritage,91
90,US,Cabernet Sauvignon,86
91,Portugal,Baga,86
92,Italy,Glera,86
93,US,Chardonnay,86
94,Portugal,Portuguese Red,86
95,France,Malbec-Merlot,86
96,US,Chardonnay,86
97,US,Cabernet Sauvignon,86
98,France,Merlot-Malbec,86
99,France,Ugni Blanc-Colombard,86
100,US,Viognier,86
101,US,Cabernet Sauvignon,86
102,Italy,Sangiovese,86
103,US,Cabernet Sauvignon-Cabernet Franc,86
104,US,Moscato,86
105,US,Pinot Grigio,86
106,US,Cabernet Franc,86
107,US,Chardonnay,86
108,US,White Blend,86
109,US,Chardonnay,86
110,Portugal,Portuguese Red,86
111,Argentina,Rosé,86
112,US,Cabernet Sauvignon,86
113,US,Riesling,86
114,South Africa,Sauvignon Blanc,86
115,Argentina,Malbec,86
116,Spain,Monastrell,86
117,France,Rosé,86
118,France,Gamay,86
